商品ID,平均販売数量,総販売数量,販売回数,販売数量標準偏差,商品カテゴリID,利益重視スコア,数量重視スコア,商品利益カテゴリ,商品数量カテゴリ
5000228,1.0,44.0,44,0.0,500,0.2,8.8,低利益,低数量
5000229,1.0217391304347827,94.0,92,0.14662959759729013,500,0.20434782608695656,18.8,低利益,低数量
5000230,1.0229885057471264,89.0,87,0.1507355218280167,500,0.2045977011494253,17.8,低利益,低数量
5000231,1.0,44.0,44,0.0,500,0.2,8.8,低利益,低数量
5000232,1.0,28.0,28,0.0,500,0.2,5.6000000000000005,低利益,低数量
5000233,1.0,37.0,37,0.0,500,0.2,7.4,低利益,低数量
5000234,1.0,2.0,2,0.0,500,0.2,0.4,低利益,低数量
5000235,1.0,19.0,19,0.0,500,0.2,3.8000000000000003,低利益,低数量
5000236,1.0,30.0,30,0.0,500,0.2,6.0,低利益,低数量
5000237,1.0,12.0,12,0.0,500,0.2,2.4000000000000004,低利益,低数量
5000238,1.0,24.0,24,0.0,500,0.2,4.800000000000001,低利益,低数量
5000239,1.0,16.0,16,0.0,500,0.2,3.2,低利益,低数量
5000240,1.0,13.0,13,0.0,500,0.2,2.6,低利益,低数量
5000241,1.0212765957446808,48.0,47,0.14586499149789453,500,0.20425531914893616,9.600000000000001,低利益,低数量
5000242,1.0256410256410255,40.0,39,0.16012815380508713,500,0.20512820512820512,8.0,低利益,低数量
5000243,1.0,20.0,20,0.0,500,0.2,4.0,低利益,低数量
5000244,1.0,20.0,20,0.0,500,0.2,4.0,低利益,低数量
5000245,1.0,12.0,12,0.0,500,0.2,2.4000000000000004,低利益,低数量
5000246,1.0,15.0,15,0.0,500,0.2,3.0,低利益,低数量
5000247,1.0,4.0,4,0.0,500,0.2,0.8,低利益,低数量
5000248,1.0,10.0,10,0.0,500,0.2,2.0,低利益,低数量
5000249,1.0,3.0,3,0.0,500,0.2,0.6000000000000001,低利益,低数量
5000250,1.0,7.0,7,0.0,500,0.2,1.4000000000000001,低利益,低数量
5000251,1.0,2.0,2,0.0,500,0.2,0.4,低利益,低数量
5000252,1.0,3.0,3,0.0,500,0.2,0.6000000000000001,低利益,低数量
5000253,1.0,3.0,3,0.0,500,0.2,0.6000000000000001,低利益,低数量
5100001,1.0,423.0,423,0.0,510,0.2,84.60000000000001,低利益,低数量
5100002,1.0156657963446476,778.0,766,0.12425995544795232,510,0.20313315926892953,155.60000000000002,低利益,低数量
5100003,1.0045454545454546,442.0,440,0.06734315432820649,510,0.20090909090909093,88.4,低利益,低数量
5100004,1.0101522842639594,398.0,394,0.10037323303948817,510,0.2020304568527919,79.60000000000001,低利益,低数量
5100005,1.0049751243781095,202.0,201,0.07053456158585981,510,0.20099502487562193,40.400000000000006,低利益,低数量
5100006,1.0,157.0,157,0.0,510,0.2,31.400000000000002,低利益,低数量
5100007,1.0133333333333334,684.0,675,0.1147827259825112,510,0.2026666666666667,136.8,低利益,低数量
5100008,1.010183299389002,496.0,491,0.10049960405095101,510,0.20203665987780042,99.2,低利益,低数量
5100009,1.0148975791433892,545.0,537,0.12125601513663184,510,0.20297951582867785,109.0,低利益,低数量
5100010,1.0038167938931297,263.0,262,0.06178020632152155,510,0.20076335877862594,52.6,低利益,低数量
5100011,1.0100755667506298,401.0,397,0.09999618342461172,510,0.20201511335012598,80.2,低利益,低数量
5100012,1.0046948356807512,428.0,426,0.06843821307253108,510,0.20093896713615025,85.60000000000001,低利益,低数量
5100013,1.0,149.0,149,0.0,510,0.2,29.8,低利益,低数量
5100014,1.0,138.0,138,0.0,510,0.2,27.6,低利益,低数量
5100015,1.0,351.0,351,0.0,510,0.2,70.2,低利益,低数量
5100016,1.0,253.0,253,0.0,510,0.2,50.6,低利益,低数量
5100017,1.0046082949308757,218.0,217,0.06788442333021308,510,0.20092165898617514,43.6,低利益,低数量
5100018,1.0,237.0,237,0.0,510,0.2,47.400000000000006,低利益,低数量
5100019,1.0,201.0,201,0.0,510,0.2,40.2,低利益,低数量
5100020,1.0,247.0,247,0.0,510,0.2,49.400000000000006,低利益,低数量
5100021,1.0075046904315197,537.0,533,0.08638501460690501,510,0.20150093808630395,107.4,低利益,低数量
5100022,1.0032894736842106,305.0,304,0.05735393346764045,510,0.20065789473684215,61.0,低利益,低数量
5100023,1.0,354.0,354,0.0,510,0.2,70.8,低利益,低数量
5100024,1.0062111801242235,324.0,322,0.07868818623803464,510,0.2012422360248447,64.8,低利益,低数量
5100025,1.0107858243451464,656.0,649,0.10337289587319212,510,0.2021571648690293,131.20000000000002,低利益,低数量
5100026,1.0,112.0,112,0.0,510,0.2,22.400000000000002,低利益,低数量
5100027,1.010928961748634,370.0,366,0.10411116494290318,510,0.20218579234972678,74.0,低利益,低数量
5100028,1.0,104.0,104,0.0,510,0.2,20.8,低利益,低数量
5100029,1.0035211267605635,285.0,284,0.059339082909692684,510,0.20070422535211271,57.0,低利益,低数量
5100030,1.0,127.0,127,0.0,510,0.2,25.400000000000002,低利益,低数量
5100031,1.0254545454545454,282.0,275,0.1577882969328571,510,0.2050909090909091,56.400000000000006,低利益,低数量
5100032,1.0,302.0,302,0.0,510,0.2,60.400000000000006,低利益,低数量
5100033,1.0,202.0,202,0.0,510,0.2,40.400000000000006,低利益,低数量
5100034,1.0,252.0,252,0.0,510,0.2,50.400000000000006,低利益,低数量
5100035,1.0,109.0,109,0.0,510,0.2,21.8,低利益,低数量
5100036,1.0096153846153846,210.0,208,0.09782092558331758,510,0.20192307692307693,42.0,低利益,低数量
5100037,1.0192307692307692,106.0,104,0.19611613513818402,510,0.20384615384615384,21.200000000000003,低利益,低数量
5100038,1.0,228.0,228,0.0,510,0.2,45.6,低利益,低数量
5100039,1.0146341463414634,208.0,205,0.1203772167750522,510,0.2029268292682927,41.6,低利益,低数量
5100040,1.0,108.0,108,0.0,510,0.2,21.6,低利益,低数量
5100041,1.0,75.0,75,0.0,510,0.2,15.0,低利益,低数量
5100042,1.0,88.0,88,0.0,510,0.2,17.6,低利益,低数量
5100043,1.0,15.0,15,0.0,510,0.2,3.0,低利益,低数量
5100044,1.0,57.0,57,0.0,510,0.2,11.4,低利益,低数量
5100045,1.007462686567164,675.0,670,0.08612819873644591,510,0.20149253731343283,135.0,低利益,低数量
5100046,1.0,87.0,87,0.0,510,0.2,17.400000000000002,低利益,低数量
5100047,1.0,8.0,8,0.0,510,0.2,1.6,低利益,低数量
5100048,1.0,218.0,218,0.0,510,0.2,43.6,低利益,低数量
5100049,1.0,62.0,62,0.0,510,0.2,12.4,低利益,低数量
5100050,1.0,2.0,2,0.0,510,0.2,0.4,低利益,低数量
5100051,1.0,107.0,107,0.0,510,0.2,21.400000000000002,低利益,低数量
5100052,1.0081967213114753,246.0,244,0.09034926645000338,510,0.20163934426229507,49.2,低利益,低数量
5100053,1.0,44.0,44,0.0,510,0.2,8.8,低利益,低数量
5100054,1.0,65.0,65,0.0,510,0.2,13.0,低利益,低数量
5100055,1.0,101.0,101,0.0,510,0.2,20.200000000000003,低利益,低数量
5100056,1.0,84.0,84,0.0,510,0.2,16.8,低利益,低数量
5100057,1.0,8.0,8,0.0,510,0.2,1.6,低利益,低数量
5100058,1.0,96.0,96,0.0,510,0.2,19.200000000000003,低利益,低数量
5100059,1.0,1.0,1,,510,0.2,0.2,低利益,低数量
5100060,1.0053763440860215,187.0,186,0.07332355751067664,510,0.2010752688172043,37.4,低利益,低数量
5100061,1.0,132.0,132,0.0,510,0.2,26.400000000000002,低利益,低数量
5100062,1.0,68.0,68,0.0,510,0.2,13.600000000000001,低利益,低数量
5100063,1.0,9.0,9,0.0,510,0.2,1.8,低利益,低数量
5100064,1.0,86.0,86,0.0,510,0.2,17.2,低利益,低数量
5100065,1.0,11.0,11,0.0,510,0.2,2.2,低利益,低数量
5100066,1.0,106.0,106,0.0,510,0.2,21.200000000000003,低利益,低数量
5100067,1.0,28.0,28,0.0,510,0.2,5.6000000000000005,低利益,低数量
5100068,1.0,24.0,24,0.0,510,0.2,4.800000000000001,低利益,低数量
5100069,1.0730460189919648,1469.0,1369,0.2739885681078756,510,0.214609203798393,293.8,低利益,中数量
5100070,1.0749185667752443,330.0,307,0.26368971270944347,510,0.21498371335504887,66.0,低利益,低数量
5100071,1.0,91.0,91,0.0,510,0.2,18.2,低利益,低数量
5100072,1.0028735632183907,349.0,348,0.053605626741889754,510,0.20057471264367815,69.8,低利益,低数量
5100073,1.004149377593361,242.0,241,0.0644156626400831,510,0.2008298755186722,48.400000000000006,低利益,低数量
5100074,1.0063291139240507,159.0,158,0.07955572841757298,510,0.20126582278481014,31.8,低利益,低数量
5100075,1.0,25.0,25,0.0,510,0.2,5.0,低利益,低数量
5100076,1.010443864229765,387.0,383,0.10179314492447426,510,0.20208877284595303,77.4,低利益,低数量
5100077,1.0,110.0,110,0.0,510,0.2,22.0,低利益,低数量
5100078,1.0,169.0,169,0.0,510,0.2,33.800000000000004,低利益,低数量
5100079,1.0,295.0,295,0.0,510,0.2,59.0,低利益,低数量
5100080,1.0,61.0,61,0.0,510,0.2,12.200000000000001,低利益,低数量
5100081,1.0,49.0,49,0.0,510,0.2,9.8,低利益,低数量
5100082,1.0072289156626506,418.0,415,0.08481741191974328,510,0.20144578313253014,83.60000000000001,低利益,低数量
5100083,1.0098425196850394,513.0,508,0.09881733992459414,510,0.20196850393700788,102.60000000000001,低利益,低数量
5100084,1.0208333333333333,98.0,96,0.14357588616379605,510,0.20416666666666666,19.6,低利益,低数量
5100085,1.0060975609756098,165.0,164,0.07808688094430305,510,0.20121951219512196,33.0,低利益,低数量
5100086,1.0,135.0,135,0.0,510,0.2,27.0,低利益,低数量
5100087,1.0,47.0,47,0.0,510,0.2,9.4,低利益,低数量
5100088,1.05337361530715,1046.0,993,0.23368368126990818,510,0.21067472306143,209.20000000000002,低利益,低数量
